$	~*[,DOL][,SIS][,SI]
咽	~*[OOD]
咾	~*[OYPF]
哀	~*[LK][LKNV][LOKV][LKN][LOK]
品	~*[OV][OOO]
哂	~*[OCO]
哄	~*[ORB]
哇	~*[OYY]
哈	~*[OAO]
哉	~*[JAQO]
哘	~*[OMII]*[OMIT]
員	~*[OMB]
哢	~*[OKR]
哥	~*[TT][TOTO][TOV]
哦	~*[OIX]
哨	~*[OSU]
哩	~*[OQE]
哭	~*[OOAD]
哮	~*[OYPZ]
哲	~*[JKO]
哺	~[OAJQV][OIJV][OAJQ][OIJ]
哽	~*[OTX][OTQX]
哿	~*[DOTO]
唄	~[OMBV][OMB]
唆	~*[OHX][OUBP][OURP]
唇	~*[FKO]
唏	~*[OXXN]
唐	~*[LEO]
唔	~*[OWO]
唖	~*[OOE][OEFE]
售	~*[VOO]
唯	~*[OVE]
唱	~*[ODD]
唳	~*[OFD][OFAD]
唸	~*[OAYH]
唹	~*[OFBB]*[OUBB]
唾	~*[OGE][OGJY][OGRY]
啀	~*[OLYY]
啄	~*[OEQ]
啅	~*[OQJ][OZDJ]
商	~*[XO][LNBO][LNRO]
啌	~*[ONBI]*[ONRI]
問	~*[MOO]
啓	~*[FOP]*[FPO]
啖	~*[OFF]
啗	~[ONGV][ONG]
啜	~*[OUUU]
啝	~*[OHO]
啣	~*[OWZP]
啻	~*[LNNO]
啼	~*[OLNN]
啾	~*[OHF]
喀	~*[ONPO]
喃	~*[ONV][OJNG][ONJV][ONJ]
善	~*[BV][BHBO][BHRO][BKBO][BKRO]
喆	~*[YOYO]*[YYOO]
喇	~*[OJCR]*[OVSR]
喉	~*[OPFD]
喊	~*[OKO][OAQO]
喋	~*[OST]
喘	~*[ODI]*[OER][OETR]
喙	~*[OCEQ][OEQV][OEQ]
喚	~*[ONC][ONND][ONOB]
喜	~*[YDO][YOBO][YORO]
喝	~*[ODL][ODNF][ODNL]
喞	~*[OPG][ODUP][OPDP][OGIV][OGI]
喟	~*[OQU]
喧	~*[ONE][ONEE]
喨	~*[OLHR]*[OLNR]*[OLOR]
喩	~*[OAI][OAUR]
喪	~*[JBK]*[JKV]*[WKN][JOOK]
喫	~*[OFDD]*[OHDD]
喬	~*[GNR]*[GOV][EDOO][GNOO][PDOO][GO]
單	~[BQJV][OJV][OOQJV][SQJV][BQJ][OJ][OOQJ][SQJ]
喰	~*[OXN]
営	~*[FF][FFNO][RNOO][SNOO][SNOV][SOV]
嗄	~*[OTMP]
嗅	~*[OPMD]
嗇	~[WOOR][WOO]
嗔	~*[OJB][OFMB][OJMB]
嗚	~*[OWF]
嗜	~*[ODV][OYPD]
嗟	~*[OBHI]*[OBKI]
嗣	~*[OME][OMYO][ONRO]
嗤	~*[OEC]
嗷	~*[OHNP]*[OYFP]
嗹	~*[OCW]
嗽	~*[OJCI]*[OVSI]
嗾	~*[OFVD]
嘆	~*[ORC]*[OUX]
嘉	~*[YQ][YDDO][YOV][YOBOV][YOROV][YOBO][YORO]
嘔	~*[OFX][OFOO]
嘖	~*[OHMB]
嘗	~*[SNOD][SNTV][SNT]
嘘	~*[OZFE]
嘛	~*[OLTT]
嘩	~*[OAJ][ORJQ][ORRJ]
嘯	~*[OEH]
嘱	~*[OC][OCPU]
嘲	~*[OU][OJDU][OJU]
嘴	~*[ON][OZFN]
嘶	~*[OKBK]
嘸	~*[OEK]*[OGL][OVFF]
噂	~*[OBEA]
噌	~*[OBO][OBQD]
噎	~*[OYND]
噐	~*[OOIO]
噛	~*[OZU][OZMU]
噤	~*[OTTS]
器	~*[OM][OOAO][OODO]
噪	~*[OLT][OOOT]
噫	~*[OLDH]
噬	~*[OZW]
噴	~*[OJA][OJRB]
噸	~*[OEL]*[OET][OETB]
噺	~*[OLI][OLTK]
嚀	~*[ONT][ONHT]
嚆	~*[ORQ][ORLO]
嚇	~*[OY][OFA][OYFF]
嚊	~*[OPMR]
嚏	~[OJNZV][OJNZ]
嚔	~*[OJNZ]
嚠	~*[ODDR]*[OOAR]
嚢	~*[JCNK]*[VNBK]*[VNOK]
嚥	~*[ORFF]*[OROF]
嚮	~*[WABO]*[WADO]*[WDUO]*[WEDO]*[XPMO]
嚴	~[OOLPV][OPPV][SLIPV][EFL][OOLP][OPP][OX][SLIP]
嚶	~*[OSG][OMBG]
嚼	~*[OEFA]
囀	~*[OCX][OCCA][OCJA]
囁	~*[ORRR]*[ORUU]
囂	~*[OOTO]
囃	~*[OJTV]*[OKTV]
囈	~*[ORJT]*[ORYT]
囎	~*[OMBB]*[OMBD]
囑	~[OCWC][OCPUV][OC][OCPU]
囓	~*[OFDU]*[OHDU]
囗	~[,OOV][OO][,OO]
囘	~[NOLV][OOOR][OOVV][NOL][OOO][OOV]
囚	~*[OBN]
四	~*[F]
回	~*[OOV][OOOV][OOO]
因	~*[OD][ODN]
団	~*[OAA]*[OXA][OCUA][OJQA]
囮	~*[OPF]
困	~*[OTN]
囲	~*[OJJ]*[OWJ][OWOS]
図	~*[OT][OBX][OOJO][OOLO][OPB]
囹	~*[OAP]*[OAT]
固	~*[OJO]
国	~*[OH][OKA]
囿	~*[OXU]
圀	~*[OBF]*[ORF]
圃	~*[OIJ][OAJQ]
圄	~[OWOV][OWO]
圈	~[OBNL][OBNPV][OPLV][OPV][OBNP][OP][OPL]
圉	~*[OYJ][OYBG]
國	~*[OHE][OAQE][OKAV][OKA]
圍	~*[OS][OJJS][OWJV][OWOSV][OJJ][OWJ][OWOS]
圏	~*[OP][OBNP][OPL]
園	~*[OK][ORR][OYOK]
圓	~*[OOMB]
圖	~[OBXV][OOJOV][OOLOV][OPBV][OBX][OOJO][OOLO][OPB][OT]
團	~*[OUP][OAAR][OCUAV][OJQAV][OXAV][OAA][OCUA][OJQA][OXA]
圜	~*[OON][OFEK]
土	~*[YV][YEV][YE]
圦	~*[YBN]*[YBP]
圧	~*[LYE]
在	~*[XY][XIY]
圭	~*[YYE]
地	~*[YAL]
圷	~[YFAV][YFA]
圸	~*[YEI]
圻	~*[YKI]
址	~*[YZE]
坂	~*[YLU]
均	~*[YNB][YNRV][YNR]
坊	~*[YFY]
坎	~*[YIN]
坏	~*[YBA]
坐	~[BBYR][BBY]
坑	~*[YLR]
坙	~*[ISY][ISIV][ISI]
坡	~*[YPX]
坤	~*[YII][YIQI]
坥	~*[YME]
坦	~*[YDE]
坩	~*[YGO]
坪	~*[YPJ]
坿	~*[YPA]
垂	~*[GE][GJJY]
垈	~*[PAXY]
垉	~*[YNL][YNFL][YNOL]
型	~*[KRY]
垓	~*[YLH]
垠	~*[YDK]
垢	~*[YAO]*[YFO]
垣	~*[YEDE]
垤	~*[YPE]
垪	~*[YBK]
垬	~*[YRB]
垰	~*[YFF]
垳	~*[YMII]*[YMIT]
埀	~*[GFFY]
埃	~*[YAN][YUVD]
埆	~*[YNE]
埇	~*[YTJ][YTNQ]
埈	~*[YHX][YUBP][YURP]
埋	~*[YQE]
城	~*[YAY][YAQN][YAQY]
埒	~*[YEA][YUAV][YUA]
埓	~[YEAV][YUAR][YEA][YUA]
埔	~*[YIJ][YAJQ]
埖	~*[YRPF]
埜	~*[TTY]
域	~*[YHE][YAQE]
埠	~*[YPBJ]
埣	~*[YJJ]
埴	~*[YJE]*[YJL][YJME][YJML]
執	~*[YZ][JZA][JZX][YBGA][YBGX][YBGZ][YKA][YZA][YZX][JKAV][JKA]
培	~*[YLO]
基	~*[KY][KBY]
埼	~*[YVO][YDTO]
堀	~*[YCEE]*[YCEU]
堂	~*[SY][SNOY]
堃	~[FFYV][FFY]
堅	~*[RUY]
堆	~[YVEV][YVE]
堊	~*[EFEY][OYEV][OYE]
堋	~*[YUU]
堕	~*[BXUY][BXYV][BXY]
堙	~*[YCY]
堝	~*[YONB][YQOV][YQO]
堡	~*[POTY]
堤	~*[YJN][YDEZ]
堪	~*[YKL]*[YKV][YKLR][YKRL]
堯	~[QERR][YRLV][YYYRV][QER][YRL][YYYR]
堰	~*[YFDG]
報	~*[YU][YBGU][YPU][JPUV][JPU]
場	~*[YEP][YDEM]
堵	~*[YDV]*[YHO]*[YYD][YYPD]
堺	~*[YQI][YQBR]
堽	~*[YFEZ]
塀	~*[YCBK]
塁	~*[QBBY][QFYV][QFY]
塊	~*[YVA][YPQU]
塋	~*[FFNY]
塑	~*[BEUY]
塒	~*[YDYA][YHAV][YHA]
塔	~*[YRO][YRAO]
塗	~*[WATY]*[WBHY]
塘	~*[YLEO]
塙	~*[YQO][YLHO][YLNO][YLOO]
塚	~*[YNEQ]
塞	~*[NY][NJY]
塢	~*[YWF]
塩	~*[YFV][YVOF][YPFV][YF][YPF]
填	~*[YJB][YJMB]
塰	~*[WVOY]
塲	~*[YVDM][YVER][YVE]
塵	~*[LBY][SYEV][SYE]
塹	~*[CKY]
塾	~*[LHZY]*[LOZY]*[LZZY]
境	~*[YR][YLDR]
墅	~*[QUY]
墓	~*[RDDY]
増	~*[YBO][YBQD]
墜	~*[BY][BBEY][BBY]
增	~[YBOV][YBQDV][YBO][YBQD]
墟	~*[YZFE]
墨	~*[QFY]
墫	~*[YBEA]
墮	~*[BXIY][BXUYV][BXUY]
墲	~*[YVFF]
墳	~*[YJA]*[YWX][YJRB]
墸	~*[YRH][YRYDV][YRYD]
墹	~*[YMD]
墺	~*[YPND]*[YPOB]
墻	~*[YWOO]
墾	~*[UY][DKY][EQDY][UQDY]
壁	~*[CY][COLY][PYEV][PYE]
壅	~*[LWVY]
壇	~*[YLOE][YTAV][YTA]
壊	~*[YJFK]*[YLFK]
壌	~*[YLN][YDJK][YLJK][YLOK]
壑	~*[ZY][ZNBY][ZNEY][ZNWY]
壓	~*[LY][LDUY][LYA][YYEV][YYE]
壕	~*[YQV][YLHQ][YLNQ][YLOQ]
壗	~*[YEFF]
壘	~*[QQQY]*[UUUY]
壙	~*[YLK]*[YLP][YLRB]
壜	~*[YDUT]
壞	~*[YK][YBAV][YJFKV][YLFKV][YBA][YJFK][YLFK]
壟	~*[AYE][AKPY][LULY]
壤	~[YLJKV][YLNV][YLOKV][YLJK][YLN][YLOK]
壥	~*[YLQY]
士	~*[YE]
壬	~[KEV][KE]
壮	~*[GYE]
壯	~[GYEV][GYE]
声	~*[YC][YCP][YCRR]
壱	~*[YND]*[YNF]*[,DE]
売	~*[YMA]*[YNR][YFMB]
壷	~*[YNO][YNFE]
壹	~[,DEV][YNDV][YNFV][YND][YNF][,DE]
壺	~[YNFEV][YNOV][YNFE][YNO]
壻	~*[YYZU]
壼	~[YNOR][YNO]
壽	~*[FAV][FAAV][YAV][YYIAV][FAA][YA][YYIA]
夂	~*[,PX][PXV][PX]
変	~*[LFP]*[LFU][ISSP][SISP]
夊	~[,PXR][PXR][PX][,PX]
夋	~*[UBP]*[URP][HXV][HX]
夏	~*[TMP]
夐	~*[NNBP]*[NNXP]
夕	~*[CA]
外	~*[CPA]
夘	~*[CPI]
夙	~*[RDA]
多	~*[CCA]
夛	~[ECAV][ECA]
夜	~*[LX][LPDE][LPU]
夢	~*[TC][RFNC][TTC]
夥	~*[QTCC]
大	~*[DN]
天	~*[EDN]*[GNN]
太	~*[DAA]
夫	~*[QNN]
夬	~[JNR][JN]
夭	~[GNNV][PDNV][GNN][PDN]
央	~*[CN]
失	~*[SNN]
夲	~[DJJV][DJJ]
夷	~*[EN][JQB]
夸	~*[XK][DRK]
夾	~*[GN]
奄	~*[XL][DIQL][DQL]
奇	~*[DTO][VOV][VO]
奈	~*[DRS]
奉	~*[FNQ]
奎	~*[DYY]
奏	~*[FNV][FNED][FNGN][FNPD]
奐	~*[NFB][NNBD][NNRD][NOBB][NORB]
契	~*[FDD]*[HDD]
奓	~*[DCC]
奔	~*[DJR]
奕	~*[LFD]
套	~*[DEU]
奘	~*[GYD]
奚	~*[EWD]
奛	~*[DDU]
奝	~*[DNO][DNYO]
奠	~*[BED]
奢	~*[DDV]*[DYD][DHOV][DYPDV][DHO][DYPD]
奣	~*[EDDU]*[GNDU]
奥	~*[PNMD]*[POMB]
奧	~*[AUV][PNED][POEB][PNMDV][POMBV][PNMD][POMB]
奨	~*[GC][GCD][GEAD][GUAD]
奩	~*[DFX][DFOO]
奪	~*[DVA][DAAS][DAA]
奬	~[GCDV][GEADV][GUADV][GCD][GEAD][GUAD]
奮	~*[DQO]*[DVQ]
女	~*[GX]
奴	~[GUXV][GUX]
奸	~*[GGJ]
好	~*[GZ][GZJ]
妁	~*[GNA]
如	~*[GOO]
妃	~*[GFL]
妄	~*[FGX]
妊	~*[GKE]
妍	~*[GKJ]
妓	~*[GJU]
妖	~*[GGN]*[GPD]
妙	~*[GSP]
妛	~*[EEG]
妝	~*[GGX]
妣	~*[GBL]
妤	~*[GUI]
妥	~*[EG][EGX]
妨	~*[GFY]
妬	~*[GLO]
妲	~*[GDE]
妹	~*[GQB]*[GYS]
妺	~[GQBV][GYSV][GQB][GYS]
妻	~*[JEG]*[JGX]
妾	~*[LGX]
姆	~*[GOM]
姉	~*[GJN][GLNV][GLN]
始	~*[GUO]
姐	~*[GME]
姑	~*[GJO]
姓	~*[GSE]
委	~*[HG][HGX]
姙	~*[GPK]
姚	~*[GRA][GRBB]
姜	~*[BKG]
姥	~*[GYPF]
姦	~*[GGG]
姨	~*[GEN][GJQB]
姪	~*[GPE]
姫	~*[GRE]
姶	~*[GAO]
姻	~*[GOD]
姿	~*[BIG]*[RIG]
威	~*[AG][AQPG][AQVG]
娃	~*[GYY]
娉	~*[GQK][GIQK]
娑	~*[WSG]
娘	~*[GAN][GADK]
娚	~[GQDV][GQD]
娜	~*[GEB]
娟	~*[GOU]
娠	~*[GFK]
娥	~*[GIX]
娩	~*[GEL][GDCR][GNCR]
娯	~*[GT][GOED][GOGN][GOKB][GOKD][GONB]
娵	~*[GRU]
娶	~*[RUG]
娼	~*[GDD]
婀	~*[GBTO]
婁	~*[MGX]
婆	~*[WPG]
婉	~*[GNCP]
婚	~*[GXD]
婢	~*[GPG][GPQG]
婦	~*[GEE]*[GEJ][GENN]
婪	~*[TTG]
婬	~*[GEK]
婿	~*[GFBU]*[GYZU]
媒	~*[GGT]
媚	~*[GCM]
媛	~*[GEX][GEGU]
媼	~*[GDF][GOBF]
媽	~*[GM][GMF]
媾	~*[GJE][GJNY]
嫁	~*[GNEQ]
嫂	~*[GGU][GGIU][GIGU]
嫉	~*[GLBD]*[GLVD]
嫋	~*[GQBB]*[GQMM]
嫌	~*[GQN][GBEF]
嫐	~*[GQDG]
嫖	~*[GCRS]
嫗	~*[GFX][GFOO]
嫡	~*[GXO][GLNO]
嫣	~*[GEZF]
嫦	~*[GSNN]
嫩	~*[GJCP]*[GVSP]
嫺	~*[GMU]
嫻	~*[GMT]
嬉	~*[GYDO]*[GYOO]
嬋	~*[GOJ][GBQJ][GOOJ][GSQJ]
嬌	~*[GGO][GEDO][GEDR][GGNO][GGNR][GPDO][GPDR]
嬖	~*[PGX][COLG]
嬢	~*[GLN][GDJK][GLJK][GLOK]
嬪	~*[GBV][GNCB][GNKB][GNPB][GNSB]
嬬	~*[GUR][GUTR]
嬰	~*[SGX][MBMG]
嬲	~*[QDGD]
嬶	~*[GPMR]
嬾	~*[GJCB]*[GVSB]
孀	~*[GUTM]
孃	~[GLJKV][GLNR][GLOKV][GLJK][GLN][GLOK]
孅	~*[GBBE]
子	~*[ZJ]
孑	~*[WEX][ZXV][ZX]
孔	~*[ZLL]
孕	~*[RZJ]
孖	~[ZZJR][ZZJ]
字	~*[NZJ]
存	~*[XZ][XIZ]
孚	~*[EZJ]
孛	~*[JNZ]
孜	~*[ZPX]
孝	~*[YPZ]
孟	~[ZFER][ZFE]
季	~*[HZJ]
孤	~*[ZG][ZGA][ZGNV][ZGN]
孥	~*[GUZ]
学	~*[SNZ]
孩	~*[ZLH]
孫	~*[ZES]*[ZPS]*[ZSA]
孰	~*[LZZ][LHZZ][LOZA][LOZX][LOZZ][LZKA]
孱	~*[CZZZ]
孳	~*[BEWZ]*[LWLZ]*[RWWZ]
孵	~*[DAPZ]*[EPPZ]*[FYPZ]
學	~[SNZV][SNZ]
孺	~*[ZUR][ZUTR]
宀	~[,NYS][NYF][NY][,NY]
它	~[NFLR][NFL]
宅	~*[NGL]
宇	~*[NUJ]
守	~*[NAA]
安	~*[NG][NGX]
宋	~*[NTN]
完	~*[NRR]
宍	~[NLAV][NLA]
宏	~*[NXU]
宕	~*[NLO]
宗	~*[NS][NRS]
官	~*[NBO]
宙	~*[NIQ]
定	~*[NZ][NEZ]
宛	~*[NCP]
宜	~*[NME]
宝	~*[NKA][NKNB][NKVB][NKWB]
実	~*[NBD]*[NFN]*[NOA][NOXB]
客	~*[NPO]
宣	~*[CF][NEDE][NEE]
室	~*[NPE]
宥	~[NXUV][NXU]
宦	~*[NRE]
宮	~*[NOV][NOPO][NOOV][NOO]
宰	~*[NLJ]
害	~*[NFO]*[NHO]
宴	~*[NDG]
宵	~*[NSU]
家	~*[NEQ]
宸	~*[NFK]
容	~*[NWO][NBBO]
宿	~*[NPTD]
寀	~*[NET]*[NMN]
寂	~*[NFSU]
寃	~*[NDCA]*[NNCA]
寄	~*[NVO][NDTO]
寅	~[NEQB][NTQB][NAV][NA]
密	~*[XE][NHPE]
寇	~[NRRUV][NRRU]
寉	~*[NVE]
富	~*[FQ][NEOQ]
寐	~*[NGQB]*[NGYS]
寒	~*[NJB]
寓	~*[NQNU]
寔	~*[NJN][NDEZ]
寘	~[NJBV][NJMBV][NJB][NJMB]
寛	~*[NRMA]*[NRMR]
寝	~*[NGEU]
寞	~*[NDV][NRDD]
察	~*[NJA][NJRS]
寡	~*[NTDD]*[NTMD]
寢	~*[NGR][NGEUV][NGEU]
寤	~*[NGWO]
寥	~*[NEM][NEEM]
實	~*[NOMB][NBDR][NFNV][NOAV][NOXBV][NBD][NFN][NOA][NOXB]
寧	~*[NTI][NHFT]
寨	~*[NJT]
審	~*[NII]*[NMQ][NIQI]
寫	~[NFV][NGNFR][NKEV][NF][NGNF][NKE]
寬	~[NRMAV][NRMRV][NRMA][NRMR]
寮	~*[NLA][NDBS]
寰	~*[NON][NFEK]
寳	~[NKAR][NKNBR][NKVBR][NKWBR][NKA][NKNB][NKVB][NKWB]
寵	~*[NAL][NAKP][NLUL]
寶	~[NKAV][NKNBV][NKVBV][NKWBV][NKA][NKNB][NKVB][NKWB]
寸	~*[AA]
寺	~*[YAA]
対	~*[A][UAA][WAA][FAAR][FAA]
寿	~*[FAA][YYIA]
封	~*[YYA]
専	~*[XA][CAA][CUA][JQA][JQUA]
射	~*[SAA]
尅	~*[JORA]
将	~*[GEA][GCAR][GUAV][GCA][GUA]
將	~*[GUA][GCAV][GEAV][GCA][GEA]
專	~[CUAV][JQUAV][XAV][CUA][JQUA][XA]
尉	~*[CRSA][CAAV][CAA]
尊	~*[BEA]
尋	~*[EAA][EIOA]
對	~*[FEBA][FAAS][UAAS][WAAV][FAA][UAA][WAA]
導	~*[DH][BTMA][HWA][OLA]
小	~*[SA]
少	~*[SP]
尓	~[NSAV][VSAV][NSA][RX][VSA]
尖	~*[SDN]
尚	~*[SNO]
尞	~[DBDS][LAR][LA]
尠	~*[KSP][KLRS][KRLS]
尢	~[KLV][KL]
尤	~*[AKL]
尨	~*[AKM]*[AMP]
尭	~*[JRR]*[QER]*[YRL][JRER][YYYR]
就	~*[GL][LOSK][LSAK]
尸	~*[CP]
尹	~*[EX]
尺	~*[CNN]
尻	~*[CKZ][CKLV][CKXV][CKL][CKX]
尼	~*[CFL]
尽	~*[CNB][EFFV][EFF]
尾	~*[CML]
尿	~[CWNV][CWN]
局	~*[CYO]*[ONO]
屁	~*[CBL]
居	~*[CJO]
屆	~*[CYU]
屈	~*[CEE]*[CEU]
届	~*[LYU][CIQV][CIQ]
屋	~*[CPE]
屍	~*[CDF]
屎	~[CMNV][CMN]
屏	~*[CBK]
屐	~*[CMIU]
屑	~*[CSU]
屓	~*[CMB]
展	~*[CRK]
属	~*[CC][CPCU][CWFC]
屠	~*[CD][CHO][CYD][CYPD]
屡	~*[CMG]
層	~*[CBO][CBQD]
履	~*[CG][CMIP][CMIV][CPV]
屬	~[CPCUV][CWFCV][CC][CPCU][CWFC]
屮	~*[,EX][EXV][EP][EX]
屯	~*[EL]
山	~*[EI]
屶	~*[EDP]
屹	~*[EVZ]
岌	~*[EPU]*[ERN]
岐	~*[EJU]
岑	~*[EAY]
岔	~*[BDE]
岡	~*[NBE][NBEE][NBTU][NXXR][NXX]
岦	~*[ELE]
岨	~*[EME]
岩	~*[ELO]
岫	~*[EIQ]
岬	~*[EQI]
岱	~*[PAXE]
岳	~*[KEI]*[KTU]*[POE][KEEV][KEE]
岶	~*[EPD]
岷	~[EOXV][EOX]
岸	~*[ELG]
岺	~*[EAP]*[EAT]
岻	~*[EXE]
岼	~*[EPJ]
岾	~*[EZO]
峅	~*[EUR]
峇	~*[EAO]
峙	~*[EYA]
峠	~*[EFF]
峡	~*[EGN]
峨	~*[EIX]
峩	~[EIXV][EIX]
峪	~*[EWO][EBBO]
峭	~*[ESU]
峯	~[EPFV][EPF]
峰	~*[EPF]
峵	~[ENXUV][ENXU]
島	~*[NEI]
峺	~*[ETX][ETQX]
峻	~*[EV][EPV][EHXV][EUBPV][EURPV][EHX][EUBP][EURP]
峽	~[EGNV][EGN]
崇	~*[ES][ENRS][ENS]
崋	~*[EEJQ]*[EESJ]*[EGGQ]*[ETJQ]
崎	~*[EVO][EDTO]
崑	~*[EDB]
崔	~*[EVE]
崕	~[ELYYV][ELYY]
崖	~*[ELYY]
崗	~*[ENX][ENBE]
崘	~[EAMV][EAM]
崙	~*[EAM]
崚	~*[EYX][EYBP][EYRP]
崛	~*[ECEE]*[ECEU]
崟	~[EAEV][EAE]
崢	~[EEEV][ENEV][EEE][ENE]
崧	~*[ETBU]
崩	~*[EUU]
嵂	~*[EMIE]
嵋	~*[ECM]
嵌	~*[EGI]
嵎	~*[EQNU]
嵐	~*[ERC]*[ERX]
嵒	~*[OOOE]
嵓	~*[EOOO]
嵜	~*[ELIO]*[ELOI]*[ELTO][EVOV][EVO]
嵩	~*[EQO][ELHO][ELNO][ELOO]
嵬	~[EPQUV][EVAV][EPQU][EVA]
嵭	~*[EGY][ELNF]
嵯	~*[EBHI]*[EBKI]
嵳	~[EBHIV][EBKIV][EBHI][EBKI]
嵶	~*[EQBB]*[EQMM]
嶂	~*[ELDJ]
嶄	~*[ECK]
嶇	~*[EFOO][EFXV][EFX]
嶋	~*[ENF]
嶌	~[ENFV][ENF]
嶐	~*[EBPS]
嶝	~*[EJD]
嶢	~*[EYR][EYYR][EQERV][EQER]
嶬	~*[EBX][EBKIR][EBKI]
嶮	~*[EAC]*[EAE]*[EOA][EAOB][EASE]
嶷	~*[EFVZ]
嶸	~*[EFFT]*[ERNT]
嶹	~*[EFA][EYYA]
嶺	~*[EAPB]*[EAPT]*[EATB]*[EATT]
嶼	~*[EEA]*[EKE]
嶽	~*[EQID]
巉	~*[ENOA]
巌	~*[EOP]*[EOX][EOOP][ESLP]
巍	~*[EHGU]*[EHGV]
巐	~*[ELHX]*[ELNX]*[ELOX]*[EQDX]
巒	~*[LFE][ISSE][SISE]
巓	~*[EFMB]*[EFMT]*[EJMB]*[EJMT]
巖	~[EOOPV][EOPV][EOXR][ESLPV][EOOP][EOP][EOX][ESLP]
巛	~*[,SA]*[,SI][SAR][SA][SI]
川	~*[SI]
州	~*[YY][YYY]
巡	~*[SWN]
巣	~*[SQT]
工	~*[IE]
左	~*[XIE]
巧	~*[IKK]
巨	~*[FFE]*[FFO]
巫	~*[WV][WEV][WE]
差	~*[VI][BHI][BKPI]
己	~*[GG][FLL]
已	~[FLLV][FLL]
巳	~*[OLL]
巴	~*[CL]
巵	~*[FCL]
巷	~*[HL][RBFL][RBOL]
巻	~*[PL][BNFL][BNOL]
巽	~*[FLFB][OLOBV][OLOB]
巾	~*[NJ][NIV][NI]
市	~*[NI][JNI][LNI][LNJ][JNJV][JNJ]
布	~*[XNI]*[XNJ]
帆	~*[NPR]*[NRA]
帋	~[XNIV][XNJV][XNI][XNJ]
希	~*[XXN]
帑	~*[GUN]
帖	~*[NZO]
帙	~*[NSN]
帚	~*[ENN][EJV][EJ]
帛	~[PJV][PDN][PJ]
帝	~*[LNN]
帥	~*[PBN]*[RNI]*[RNJ]
師	~*[PNV]*[REN]*[YEN]*[YTN][PBEN][RTNS][RTN]
席	~*[LRN]
帯	~*[FNN][SNNV][SNN][SV]
帰	~*[REJ]*[YEJ][RENN][YENN]
帳	~*[NEK]
帶	~[FNNV][SVR][FNN][SV]
帷	~[NVEV][NVE]
常	~*[SN][SNON]
帽	~*[NDM]
幀	~*[NZMB]
幃	~*[NWJ][NWOS]
幄	~[NCPV][NCP]
幅	~*[NQ][NEOQV][NEOQ]
幇	~*[HI][YYAN][FBNV][FBN]
幌	~*[NDSR]
幎	~*[NNDL]
幔	~*[NMX][NDFU]
幕	~*[RNV][RDDN]
幗	~*[NOH][NOAE][NOKA]
幟	~*[NOB][NLAD]
幡	~[NMQV][NMQ]
幢	~*[NLQ]
幣	~*[BNJ]*[SNV][SNSN][BNIR][BNI]
幤	~[SNONV][SNON]
干	~*[GV][GJV][GJ]
平	~*[PJ]
年	~*[VSJ]
幵	~[GGJV][KJV][GGJ][KJ]
并	~[BKJV][BKJ]
幸	~*[YJ][YBG]
幹	~*[JG][JBG][JDJG]
幺	~*[,WA][WAV][WA]
幻	~*[WYY]
幼	~*[WDX]*[WDY]
幽	~*[WWE][WIWU]
幾	~*[GB][WBA][WWAB]
广	~[LPR][LP]
庁	~*[LTI]
広	~*[LKA]*[LUA]
庄	~[LYEV][LYE]
庇	~[LBLR][LBL]
床	~*[LTN][GTNV][GTN]
序	~*[LUI]
底	~*[LXE]
庖	~*[LNL][LNFL][LNOL]
店	~*[ZO][LOV][LZO]
庚	~*[LEB]*[LEN]
府	~*[LPA]
庠	~*[LBH]
度	~*[LRU]
座	~*[LYV][LBBY]
庫	~*[LCJ]
庭	~*[LKW]
庵	~*[LXL][LDIL][LDQL]
庶	~*[LRF]
康	~*[LEW]
庸	~*[LENQ]
廁	~[LMBRV][LMBR]
廂	~*[LTM]
廃	~*[LFL]*[LFX]*[LJK][LJQU]
廈	~[LTMPV][LTMP]
廉	~*[LPQ]*[LQN][LBEF]
廊	~*[LAB][LADB]
廏	~*[LDUU]*[LPDU]
廐	~*[LPDK][LDLR][LDUKV][LDL][LDUK]
廓	~*[LLHB]*[LLOB]*[LLZB]
廖	~*[LEM][LEEM]
廚	~*[LYOA][LDAV][LYDAV][LDA][LYDA]
廛	~*[LQBY]*[LQRY]
廝	~[LKBKV][LKBK]
廟	~*[LIQ]*[LJU][LJDU]
廠	~*[LP][LSNP]
廡	~*[LEK][LVFF][LGLV][LGL]
廢	~*[LAXU][LFXV][LJQUV][LFX][LJQU]
廣	~*[LREB][LKAV][LUAV][LKA][LUA]
廨	~*[LNDS]
廩	~*[LLOH]*[LLOS]
廬	~*[LZQF][LFPV][LFP]
廰	~*[LRJ][LRJH]
廱	~*[LSOV]
廳	~*[LH][LRKH][LRKJ][LRJV][LTIV][LRJ][LTI]
廴	~*[,WN][WNV][WN]
延	~*[PZW]
廷	~*[KW][KWNV][KWN]
廸	~*[IQW]
建	~*[EWN]
廻	~*[OOW]
廼	~[CWNR][CWN]
廾	~[RJV][RJ]
廿	~[ROV][RO]
弁	~*[URJ]
弃	~*[TRJ]
弄	~*[KR][KRJ]
弉	~*[GYR]
弊	~*[BRJ]*[SRV][SNSR]
弋	~[AXXV][AXX]
弌	~*[AXE]
弍	~*[AXR]
式	~*[AXI]
弐	~*[,DR][EAXR]
弑	~*[XIV][XATI][XTAI]
弓	~*[QK][QYV][QY]
弔	~*[QIJ]
引	~*[QII]
弖	~*[QEE]
